hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,15,15
1,01:00 - 02:00,18,33
2,02:00 - 03:00,13,46
3,03:00 - 04:00,8,54
4,04:00 - 05:00,7,61
5,05:00 - 06:00,12,73
6,06:00 - 07:00,79,152
7,07:00 - 08:00,56,208
8,08:00 - 09:00,48,256
9,09:00 - 10:00,115,371
10,10:00 - 11:00,141,512
11,11:00 - 12:00,169,681
12,12:00 - 13:00,232,913
13,13:00 - 14:00,268,1181
14,14:00 - 15:00,263,1444
15,15:00 - 16:00,194,1638
16,16:00 - 17:00,214,1852
17,17:00 - 18:00,194,2046
18,18:00 - 19:00,171,2217
19,19:00 - 20:00,195,2412
20,20:00 - 21:00,130,2542
21,21:00 - 22:00,161,2703
22,22:00 - 23:00,105,2808
23,23:00 - 00:00,68,2876
