hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,35,35
1,01:00 - 02:00,30,65
2,02:00 - 03:00,35,100
3,03:00 - 04:00,24,124
4,04:00 - 05:00,25,149
5,05:00 - 06:00,24,173
6,06:00 - 07:00,78,251
7,07:00 - 08:00,54,305
8,08:00 - 09:00,54,359
9,09:00 - 10:00,143,502
10,10:00 - 11:00,159,661
11,11:00 - 12:00,218,879
12,12:00 - 13:00,308,1187
13,13:00 - 14:00,303,1490
14,14:00 - 15:00,325,1815
15,15:00 - 16:00,324,2139
16,16:00 - 17:00,231,2370
17,17:00 - 18:00,261,2631
18,18:00 - 19:00,267,2898
19,19:00 - 20:00,178,3076
20,20:00 - 21:00,157,3233
21,21:00 - 22:00,147,3380
22,22:00 - 23:00,83,3463
23,23:00 - 00:00,50,3513
