hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,41,41
1,01:00 - 02:00,29,70
2,02:00 - 03:00,30,100
3,03:00 - 04:00,17,117
4,04:00 - 05:00,31,148
5,05:00 - 06:00,18,166
6,06:00 - 07:00,68,234
7,07:00 - 08:00,73,307
8,08:00 - 09:00,48,355
9,09:00 - 10:00,79,434
10,10:00 - 11:00,114,548
11,11:00 - 12:00,115,663
12,12:00 - 13:00,121,784
13,13:00 - 14:00,230,1014
14,14:00 - 15:00,162,1176
15,15:00 - 16:00,191,1367
16,16:00 - 17:00,139,1506
17,17:00 - 18:00,154,1660
18,18:00 - 19:00,91,1751
19,19:00 - 20:00,97,1848
20,20:00 - 21:00,90,1938
21,21:00 - 22:00,102,2040
22,22:00 - 23:00,55,2095
23,23:00 - 00:00,27,2122
