hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,6,6
1,01:00 - 02:00,7,13
2,02:00 - 03:00,5,18
3,03:00 - 04:00,4,22
4,04:00 - 05:00,1,23
5,05:00 - 06:00,10,33
6,06:00 - 07:00,29,62
7,07:00 - 08:00,20,82
8,08:00 - 09:00,12,94
9,09:00 - 10:00,18,112
10,10:00 - 11:00,23,135
11,11:00 - 12:00,25,160
12,12:00 - 13:00,16,176
13,13:00 - 14:00,47,223
14,14:00 - 15:00,41,264
15,15:00 - 16:00,24,288
16,16:00 - 17:00,14,302
17,17:00 - 18:00,32,334
18,18:00 - 19:00,16,350
19,19:00 - 20:00,7,357
20,20:00 - 21:00,27,384
21,21:00 - 22:00,52,436
22,22:00 - 23:00,37,473
23,23:00 - 00:00,21,494
